scenario,regime,variable,t,sum_contrib,uncertainty,delta,residual
GIRF — aluminium to uncertainty shock,combined,aluminium,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,2,1,vxo,1,0
GIRF — aluminium to uncertainty shock,combined,aluminium,3,0.16165673155115529,vxo,0.16165673155115534,5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,aluminium,4,-0.10591482172150041,vxo,-0.10591482172150044,-2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,aluminium,5,-0.14705754752055225,vxo,-0.14705754752055225,0
GIRF — aluminium to uncertainty shock,combined,aluminium,6,0.04483946757485406,vxo,0.04483946757485406,0
GIRF — aluminium to uncertainty shock,combined,aluminium,7,-0.18596169517460004,vxo,-0.18596169517460007,-2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,aluminium,8,0.07231402248069498,vxo,0.07231402248069498,0
GIRF — aluminium to uncertainty shock,combined,aluminium,9,0.3000944259765991,vxo,0.3000944259765991,0
GIRF — aluminium to uncertainty shock,combined,aluminium,10,0.2875115543725591,vxo,0.28751155437255904,-5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,aluminium,11,-0.12640121827340797,vxo,-0.12640121827340797,0
GIRF — aluminium to uncertainty shock,combined,aluminium,12,-0.16223647537716326,vxo,-0.1622364753771633,-2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,aluminium,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,aluminium,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,3,-0.37679508612917345,vxo,-0.37679508612917345,0
GIRF — aluminium to uncertainty shock,combined,cocoa,4,0.2237250721608831,vxo,0.22372507216088308,-2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,cocoa,5,0.31843429450907706,vxo,0.318434294509077,-5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,cocoa,6,0.1817579941636595,vxo,0.1817579941636595,0
GIRF — aluminium to uncertainty shock,combined,cocoa,7,-0.09629273343681538,vxo,-0.09629273343681535,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,cocoa,8,-0.07526885136689665,vxo,-0.07526885136689664,1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,cocoa,9,-0.046454865739198097,vxo,-0.046454865739198103,-6.938893903907228e-18
GIRF — aluminium to uncertainty shock,combined,cocoa,10,0.05763970966135823,vxo,0.05763970966135823,0
GIRF — aluminium to uncertainty shock,combined,cocoa,11,-0.15906249966180178,vxo,-0.15906249966180183,-5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,cocoa,12,-0.20431512338083962,vxo,-0.20431512338083957,5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,cocoa,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cocoa,24,0,vxo,0,0
