uncertainty,scenario,regime,variable,t,shock_id,contribution
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,aluminium,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,cocoa,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,coffee_arabic,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,copper,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,cotton_a_indx,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,crude_wti,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,gold,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,lead,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,maize,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,ngas_us,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,nickel,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,platinum,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,silver,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,soybeans,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,sugar_wld,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,tin,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,wheat_us_hrw,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,zinc,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,aluminium,1
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,cocoa,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,coffee_arabic,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,copper,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,cotton_a_indx,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,crude_wti,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,gold,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,lead,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,maize,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,ngas_us,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,nickel,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,platinum,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,silver,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,soybeans,0
