uncertainty,scenario,regime,variable,t,shock_id,contribution
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,aluminium,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,cocoa,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,coffee_arabic,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,copper,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,cotton_a_indx,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,crude_wti,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,gold,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,lead,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,maize,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,ngas_us,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,nickel,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,platinum,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,silver,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,soybeans,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,sugar_wld,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,tin,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,wheat_us_hrw,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,zinc,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,aluminium,1
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,cocoa,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,coffee_arabic,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,copper,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,cotton_a_indx,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,crude_wti,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,gold,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,lead,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,maize,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,ngas_us,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,nickel,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,platinum,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,silver,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,soybeans,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,sugar_wld,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,tin,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,wheat_us_hrw,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,zinc,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,aluminium,0.11998948965519032
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,cocoa,7.296302257341915e-5
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,coffee_arabic,3.8091426917213466e-5
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,copper,0.009138297224361267
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,cotton_a_indx,0.0027685782806398536
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,crude_wti,4.7084498589168274e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,gold,4.297488483584581e-5
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,lead,0.0029187292188907026
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,maize,0.01521364411631399
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,ngas_us,3.308616091948629e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,nickel,8.690447396149258e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,platinum,4.8447529736340414e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,silver,9.287418112140186e-5
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,soybeans,0.003249654907123097
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,sugar_wld,6.384898894300855e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,tin,1.8880925397738203e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,wheat_us_hrw,0.004995623908351385
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,zinc,1.532849493645073e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,aluminium,-0.06475367755761832
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,cocoa,-1.353156162358186e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,coffee_arabic,-3.7027224774007265e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,copper,-0.005096781677371131
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,cotton_a_indx,-0.0014823164777256104
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,crude_wti,-2.8005856434431316e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,gold,-3.842726015116353e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,lead,-0.0015918760876890137
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,maize,-0.009384306501097148
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,ngas_us,-0.001480873654968692
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,nickel,-4.8060078665398406e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,platinum,-0.006911020436156084
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,silver,-0.0015058543088665053
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,soybeans,-0.005016121833449135
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,sugar_wld,-0.001827349118193991
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,tin,-0.002094814295922873
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,wheat_us_hrw,-0.002674007715905649
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,zinc,-4.4530224005042855e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,aluminium,-0.07628476187803909
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,cocoa,-5.210901849431494e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,coffee_arabic,-5.390334953301405e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,copper,-0.009922421153744565
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,cotton_a_indx,-0.004423196100401024
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,crude_wti,-3.72439841227236e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,gold,-0.001265788514223209
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,lead,-0.0039019125523233372
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,maize,-0.01228920645234458
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,ngas_us,-0.0017641545104594791
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,nickel,-8.165642948444008e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,platinum,-0.008188325593412246
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,silver,-0.002699702270331096
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,soybeans,-0.01157912850200544
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,sugar_wld,-0.002144862461014337
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,tin,-0.005142620037058017
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,wheat_us_hrw,-0.0045342003197826
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,zinc,-6.681393590683105e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,aluminium,0.01920030574444083
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,cocoa,1.3313425196301822e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,coffee_arabic,2.717169969991675e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,copper,0.0046850242248711645
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,cotton_a_indx,0.0011762601243334293
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,crude_wti,4.95541718516414e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,gold,0.0013735972890574308
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,lead,0.0011640893160516973
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,maize,0.004376811203552376
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,ngas_us,0.0011984342225208684
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,nickel,2.2773931532147832e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,platinum,0.0021270498850715085
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,silver,0.0015424918758845697
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,soybeans,0.0035365170265116604
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,sugar_wld,5.608505818716815e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,tin,0.0012925628579347074
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,wheat_us_hrw,0.001232710261755135
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,zinc,2.446306781969217e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,aluminium,-0.06667813002873076
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,cocoa,-5.396795783533979e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,coffee_arabic,-9.363604114587025e-4
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,copper,-0.021869543072716498
