scenario,variable,shock_id,total,l1
GIRF — aluminium to uncertainty shock,aluminium,aluminium,1.1060533405997084,1.5866292352451798
GIRF — aluminium to uncertainty shock,aluminium,tin,-0.008147741595209283,0.041782102594187145
GIRF — aluminium to uncertainty shock,aluminium,soybeans,-0.006612938571031639,0.028049280427616178
GIRF — aluminium to uncertainty shock,aluminium,maize,-0.00661141549943103,0.0273821762529627
GIRF — aluminium to uncertainty shock,aluminium,copper,-0.004067774405126954,0.014442918477409989
GIRF — aluminium to uncertainty shock,aluminium,ngas_us,-0.0037863762193279314,0.01891309299833468
GIRF — aluminium to uncertainty shock,aluminium,lead,-0.003203490601218707,0.009808248633269508
GIRF — aluminium to uncertainty shock,aluminium,sugar_wld,-0.0030796973687267307,0.019447908510246026
GIRF — aluminium to uncertainty shock,aluminium,nickel,-0.0020730116708178366,0.006545898821361759
GIRF — aluminium to uncertainty shock,aluminium,wheat_us_hrw,-0.0020587563509411578,0.016563053629896483
GIRF — aluminium to uncertainty shock,aluminium,coffee_arabic,-0.0011710460510922036,0.03158281699238654
GIRF — aluminium to uncertainty shock,aluminium,cotton_a_indx,8.185902128916298e-4,0.01896193883043994
GIRF — aluminium to uncertainty shock,aluminium,zinc,-7.07434070642987e-4,0.015346953858010326
GIRF — aluminium to uncertainty shock,aluminium,gold,-6.232858836808085e-4,0.009039526889554712
GIRF — aluminium to uncertainty shock,aluminium,silver,-2.798827117997862e-4,0.0023121176171073056
GIRF — aluminium to uncertainty shock,aluminium,platinum,-1.599865447983219e-4,0.034526245118892664
GIRF — aluminium to uncertainty shock,aluminium,crude_wti,1.2527614187387258e-4,0.012940867101368176
GIRF — aluminium to uncertainty shock,aluminium,cocoa,7.399593133117655e-7,0.010316186404256727
GIRF — aluminium to uncertainty shock,cocoa,cocoa,0.1596117030800882,0.3453288894792346
GIRF — aluminium to uncertainty shock,cocoa,lead,0.022063216981639183,0.04734993851185914
GIRF — aluminium to uncertainty shock,cocoa,maize,0.01547545248152788,0.06832760169098584
GIRF — aluminium to uncertainty shock,cocoa,gold,0.014329469935025863,0.03370758650527099
GIRF — aluminium to uncertainty shock,cocoa,platinum,0.011457973400850878,0.02550951720156689
GIRF — aluminium to uncertainty shock,cocoa,wheat_us_hrw,0.008947924611723345,0.032910520421756156
GIRF — aluminium to uncertainty shock,cocoa,cotton_a_indx,0.008829285714422144,0.02250700542076437
GIRF — aluminium to uncertainty shock,cocoa,nickel,0.0085654954972923,0.019230966210793947
GIRF — aluminium to uncertainty shock,cocoa,aluminium,0.007327413896850974,0.016171418102161682
GIRF — aluminium to uncertainty shock,cocoa,coffee_arabic,0.005932239926960857,0.021932154096473516
GIRF — aluminium to uncertainty shock,cocoa,sugar_wld,0.005656356123728999,0.01570038351400742
GIRF — aluminium to uncertainty shock,cocoa,copper,0.004647580463905747,0.03307031619763896
GIRF — aluminium to uncertainty shock,cocoa,zinc,0.004575513580169125,0.018966023454218366
GIRF — aluminium to uncertainty shock,cocoa,soybeans,0.004419659017020934,0.019088571946185094
GIRF — aluminium to uncertainty shock,cocoa,tin,0.0040672374554948446,0.017891985836304986
GIRF — aluminium to uncertainty shock,cocoa,ngas_us,0.0021965409554174555,0.03194508911488667
GIRF — aluminium to uncertainty shock,cocoa,silver,0.0017994682158286046,0.005755188972331792
GIRF — aluminium to uncertainty shock,cocoa,crude_wti,0.0013168574064158505,0.005152129062524125
GIRF — aluminium to uncertainty shock,coffee_arabic,coffee_arabic,0.1931384702947156,0.27622134302831397
GIRF — aluminium to uncertainty shock,coffee_arabic,zinc,0.008263181093405965,0.015999411523044776
GIRF — aluminium to uncertainty shock,coffee_arabic,nickel,0.006450316354252194,0.010733144714376629
GIRF — aluminium to uncertainty shock,coffee_arabic,cotton_a_indx,0.004120728192701423,0.006651554601827191
GIRF — aluminium to uncertainty shock,coffee_arabic,maize,0.003841400438109356,0.009150548773943924
GIRF — aluminium to uncertainty shock,coffee_arabic,cocoa,0.0026101840449089266,0.004204632146796287
GIRF — aluminium to uncertainty shock,coffee_arabic,wheat_us_hrw,0.002445622333105386,0.004806145405357749
GIRF — aluminium to uncertainty shock,coffee_arabic,aluminium,0.002361437379647841,0.003955726723553152
GIRF — aluminium to uncertainty shock,coffee_arabic,soybeans,0.002348408178727243,0.005780873182335823
