uncertainty,scenario,regime,variable,t,shocked,baseline,delta
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,1,0,1
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,3,0.2720638981041704,0,0.2720638981041704
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,4,-0.15107581118649893,0,-0.15107581118649893
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,5,-0.02122019031173128,0,-0.02122019031173128
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,6,0.08128155486018122,0,0.08128155486018122
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,7,0.04719261455996912,0,0.04719261455996912
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,8,-0.0926161936350234,0,-0.0926161936350234
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,9,-0.04569394040675575,0,-0.04569394040675575
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,10,0.077381730283362,0,0.077381730283362
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,11,0.00658304107852864,0,0.00658304107852864
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,12,-0.10948159397626012,0,-0.10948159397626012
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,13,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,14,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,15,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,16,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,17,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,18,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,19,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,20,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,21,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,22,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,23,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cocoa,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cocoa,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cocoa,3,-0.03744207560288862,0,-0.03744207560288862
