uncertainty,scenario,regime,variable,max_abs_delta,t_of_max
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,2
vix,GIRF — aluminium to uncertainty shock,combined,cocoa,0.1816217780131678,5
vix,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,0.10731671600590852,4
vix,GIRF — aluminium to uncertainty shock,combined,copper,0.1846316851129237,3
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,0.17852603951602447,3
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,0.12571075042554108,3
vix,GIRF — aluminium to uncertainty shock,combined,gold,0.06451269503517719,8
vix,GIRF — aluminium to uncertainty shock,combined,lead,0.09722992948292208,3
vix,GIRF — aluminium to uncertainty shock,combined,maize,0.2076967704257389,4
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,0.14034999382997296,10
vix,GIRF — aluminium to uncertainty shock,combined,nickel,0.14056538170659802,3
vix,GIRF — aluminium to uncertainty shock,combined,platinum,0.11584785474987126,8
vix,GIRF — aluminium to uncertainty shock,combined,silver,0.08075418486562273,9
vix,GIRF — aluminium to uncertainty shock,combined,soybeans,0.1531005687104986,4
vix,GIRF — aluminium to uncertainty shock,combined,sugar_wld,0.15116816870707156,4
vix,GIRF — aluminium to uncertainty shock,combined,tin,0.1930694060185731,3
vix,GIRF — aluminium to uncertainty shock,combined,wheat_us_hrw,0.21752190666475324,3
vix,GIRF — aluminium to uncertainty shock,combined,zinc,0.1592668852572576,3
vix,Oil supply spike,combined,aluminium,0.32420671719816924,6
vix,Oil supply spike,combined,cocoa,0.31478963597327486,9
vix,Oil supply spike,combined,coffee_arabic,0.1173039858952192,10
vix,Oil supply spike,combined,copper,0.3116658490841198,5
vix,Oil supply spike,combined,cotton_a_indx,0.23725001306882088,10
vix,Oil supply spike,combined,crude_wti,2,2
vix,Oil supply spike,combined,gold,0.18196749845866617,9
vix,Oil supply spike,combined,lead,0.19614780364727075,9
vix,Oil supply spike,combined,maize,0.24609936132594992,4
vix,Oil supply spike,combined,ngas_us,0.3319153813222261,4
vix,Oil supply spike,combined,nickel,0.24705433752755607,5
vix,Oil supply spike,combined,platinum,0.20447295145367744,9
vix,Oil supply spike,combined,silver,0.15809371412564388,3
vix,Oil supply spike,combined,soybeans,0.12092156111348396,8
vix,Oil supply spike,combined,sugar_wld,0.21644783157842976,10
vix,Oil supply spike,combined,tin,0.30833273877637973,5
vix,Oil supply spike,combined,wheat_us_hrw,0.22215460108209673,10
vix,Oil supply spike,combined,zinc,0.23393574556766203,3
vix,girf-ngas-1sigma,combined,aluminium,0.17283122240062665,4
vix,girf-ngas-1sigma,combined,cocoa,0.31710764503599126,7
vix,girf-ngas-1sigma,combined,coffee_arabic,0.0931648037071528,8
vix,girf-ngas-1sigma,combined,copper,0.23476754687851867,4
vix,girf-ngas-1sigma,combined,cotton_a_indx,0.2132141750515034,7
vix,girf-ngas-1sigma,combined,crude_wti,0.17826586598874966,3
vix,girf-ngas-1sigma,combined,gold,0.18973709765236468,7
vix,girf-ngas-1sigma,combined,lead,0.27380150864210373,4
vix,girf-ngas-1sigma,combined,maize,0.13130780185690813,6
vix,girf-ngas-1sigma,combined,ngas_us,1,2
