t,variable,value,scenario,is_baseline,regime,value_lo,value_hi
1,oil,0,oil_supply_spike,TRUE,low,NA,NA
2,oil,0,oil_supply_spike,TRUE,low,NA,NA
3,oil,0,oil_supply_spike,TRUE,low,NA,NA
4,oil,0,oil_supply_spike,TRUE,low,NA,NA
5,oil,0,oil_supply_spike,TRUE,low,NA,NA
6,oil,0,oil_supply_spike,TRUE,low,NA,NA
7,oil,0,oil_supply_spike,TRUE,low,NA,NA
8,oil,0,oil_supply_spike,TRUE,low,NA,NA
9,oil,0,oil_supply_spike,TRUE,low,NA,NA
10,oil,0,oil_supply_spike,TRUE,low,NA,NA
11,oil,0,oil_supply_spike,TRUE,low,NA,NA
12,oil,0,oil_supply_spike,TRUE,low,NA,NA
1,value,0,oil_supply_spike,TRUE,low,NA,NA
2,value,0,oil_supply_spike,TRUE,low,NA,NA
3,value,0,oil_supply_spike,TRUE,low,NA,NA
4,value,0,oil_supply_spike,TRUE,low,NA,NA
5,value,0,oil_supply_spike,TRUE,low,NA,NA
6,value,0,oil_supply_spike,TRUE,low,NA,NA
7,value,0,oil_supply_spike,TRUE,low,NA,NA
8,value,0,oil_supply_spike,TRUE,low,NA,NA
9,value,0,oil_supply_spike,TRUE,low,NA,NA
10,value,0,oil_supply_spike,TRUE,low,NA,NA
11,value,0,oil_supply_spike,TRUE,low,NA,NA
12,value,0,oil_supply_spike,TRUE,low,NA,NA
1,oil,0,oil_supply_spike,FALSE,low,NA,NA
2,oil,1,oil_supply_spike,FALSE,low,NA,NA
3,oil,0.05797660973367159,oil_supply_spike,FALSE,low,NA,NA
4,oil,0.00827419212710274,oil_supply_spike,FALSE,low,NA,NA
5,oil,0.002596440827779111,oil_supply_spike,FALSE,low,NA,NA
6,oil,9.804585576577514e-4,oil_supply_spike,FALSE,low,NA,NA
7,oil,3.7905798861904055e-4,oil_supply_spike,FALSE,low,NA,NA
8,oil,1.4693894893447163e-4,oil_supply_spike,FALSE,low,NA,NA
9,oil,5.697662781894492e-5,oil_supply_spike,FALSE,low,NA,NA
10,oil,2.209382132673423e-5,oil_supply_spike,FALSE,low,NA,NA
11,oil,8.567350210811652e-6,oil_supply_spike,FALSE,low,NA,NA
12,oil,3.3221740297170725e-6,oil_supply_spike,FALSE,low,NA,NA
1,value,0,oil_supply_spike,FALSE,low,NA,NA
2,value,0,oil_supply_spike,FALSE,low,NA,NA
3,value,0.07133375878243374,oil_supply_spike,FALSE,low,NA,NA
4,value,0.03073423948456525,oil_supply_spike,FALSE,low,NA,NA
5,value,0.012050247866035943,oil_supply_spike,FALSE,low,NA,NA
6,value,0.004678445780311317,oil_supply_spike,FALSE,low,NA,NA
7,value,0.0018144136042768098,oil_supply_spike,FALSE,low,NA,NA
8,value,7.035884599133147e-4,oil_supply_spike,FALSE,low,NA,NA
9,value,2.728320048370237e-4,oil_supply_spike,FALSE,low,NA,NA
10,value,1.0579649400500296e-4,oil_supply_spike,FALSE,low,NA,NA
11,value,4.102486547775062e-5,oil_supply_spike,FALSE,low,NA,NA
12,value,1.5908273449296265e-5,oil_supply_spike,FALSE,low,NA,NA
