t,variable,value,scenario,is_baseline,regime,uncertainty,value_lo,value_hi
1,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
2,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
3,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
4,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
5,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
6,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
7,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
8,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
9,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
10,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
11,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
12,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
13,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
14,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
15,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
16,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
17,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
18,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
19,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
20,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
21,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
22,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
23,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
24,aluminium,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
1,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
2,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
3,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
4,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
5,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
6,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
7,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
8,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
9,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
10,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
11,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
12,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
13,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
14,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
15,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
16,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
17,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
18,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
19,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
20,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
21,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
22,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
23,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
24,cocoa,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
1,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
2,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
3,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
4,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
5,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
6,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
7,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
8,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
9,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
10,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
11,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
12,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
13,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
14,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
15,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
16,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
17,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
18,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
19,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
20,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
21,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
22,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
23,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
24,coffee_arabic,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
1,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
2,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
3,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
4,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
5,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
6,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
7,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
8,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
9,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
10,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
11,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
12,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
13,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
14,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
15,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
16,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
17,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
18,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
19,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
20,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
21,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
22,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
23,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
24,copper,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
1,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
2,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
3,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
4,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
5,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
6,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
7,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
8,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
9,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
10,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
11,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
12,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
13,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
14,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
15,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
16,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
17,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
18,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
19,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
20,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
21,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
22,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
23,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
24,cotton_a_indx,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
1,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
2,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
3,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
4,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
5,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
6,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
7,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
8,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
9,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
10,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
11,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
12,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
13,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
14,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
15,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
16,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
17,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
18,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
19,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
20,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
21,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
22,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
23,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
24,crude_wti,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
1,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
2,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
3,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
4,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
5,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
6,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
7,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
8,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
9,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
10,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
11,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
12,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
13,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
14,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
15,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
16,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
17,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
18,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
19,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
20,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
21,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
22,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
23,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
24,gold,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
1,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
2,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
3,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
4,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
5,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
6,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
7,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
8,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
9,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
10,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
11,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
12,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
13,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
14,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
15,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
16,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
17,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
18,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
19,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
20,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
21,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
22,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
23,lead,0,one_sigma_supply_shock,TRUE,combined,vxo,NA,NA
