t,variable,value,scenario,is_baseline,regime,uncertainty,value_lo,value_hi
1,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,coffee_arabic,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,coffee_arabic,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,coffee_arabic,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,coffee_arabic,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,coffee_arabic,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,coffee_arabic,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,coffee_arabic,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,coffee_arabic,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,copper,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,copper,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,copper,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,copper,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,copper,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,copper,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,copper,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,copper,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,cotton_a_indx,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,cotton_a_indx,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,cotton_a_indx,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,cotton_a_indx,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,cotton_a_indx,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,cotton_a_indx,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,cotton_a_indx,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,cotton_a_indx,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,crude_wti,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,crude_wti,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,crude_wti,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,crude_wti,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,crude_wti,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,crude_wti,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,crude_wti,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,crude_wti,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,gold,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,gold,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,gold,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,gold,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,gold,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,gold,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,gold,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,gold,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,lead,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,lead,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,lead,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,lead,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,lead,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,lead,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,lead,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,lead,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
