uncertainty,scenario,regime,variable,t,value
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,2,1
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,3,0.16165673155115534
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,4,-0.10591482172150044
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,5,-0.14705754752055225
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,6,0.04483946757485406
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,7,-0.18596169517460007
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,8,0.07231402248069498
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,9,0.3000944259765991
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,10,0.28751155437255904
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,11,-0.12640121827340797
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,12,-0.1622364753771633
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,aluminium,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,3,-0.37679508612917345
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,4,0.22372507216088308
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,5,0.318434294509077
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,6,0.1817579941636595
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,7,-0.09629273343681535
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,8,-0.07526885136689664
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,9,-0.046454865739198103
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,10,0.05763970966135823
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,11,-0.15906249966180183
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,12,-0.20431512338083957
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,cocoa,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,3,-0.03780158823877828
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,4,0.07271495989327487
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,5,-0.01711845980620541
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,6,0.2533730345934529
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,7,-0.01435117410251839
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,8,-0.1264868584981396
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,9,-0.00803225502850616
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,10,0.06781835117616171
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,11,-0.06128407773787033
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,12,0.01621500565120748
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,3,0.07601747397851354
vxo,GIRF — aluminium to uncertainty shock,combined,copper,4,-0.003321676314829
vxo,GIRF — aluminium to uncertainty shock,combined,copper,5,-0.16240333995743983
vxo,GIRF — aluminium to uncertainty shock,combined,copper,6,0.12551057591132592
vxo,GIRF — aluminium to uncertainty shock,combined,copper,7,-0.05343824788531378
vxo,GIRF — aluminium to uncertainty shock,combined,copper,8,0.1115946753335836
vxo,GIRF — aluminium to uncertainty shock,combined,copper,9,0.20017457414800505
vxo,GIRF — aluminium to uncertainty shock,combined,copper,10,0.22926566426864983
vxo,GIRF — aluminium to uncertainty shock,combined,copper,11,-0.10984873512912724
vxo,GIRF — aluminium to uncertainty shock,combined,copper,12,-0.2728696809641007
vxo,GIRF — aluminium to uncertainty shock,combined,copper,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,copper,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,1,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,2,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,3,-0.13621612524335985
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,4,-0.07961838620919243
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,5,0.1112208922248408
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,6,0.34510707418652176
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,7,-0.04581597512042659
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,8,-0.1770483752898792
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,9,0.1027066690649864
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,10,0.02256334778570365
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,11,-0.09445839842421493
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,12,-0.01448427822873393
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,13,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,14,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,15,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,16,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,17,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,18,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,19,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,20,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,21,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,22,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,23,0
vxo,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,24,0
vxo,GIRF — aluminium to uncertainty shock,combined,crude_wti,1,0
