date,oil,value
2000-01-01,0,0.12
2000-02-01,-1.07,-0.3
2000-03-01,-1.66,-1.07
2000-04-01,-0.12,-0.93
2000-05-01,-1.26,-1.48
2000-06-01,-0.91,-1.62
2000-07-01,-0.46,-1.64
2000-08-01,2.83,-2.5
2000-09-01,0.07,-1.09
2000-10-01,0.57,-0.65
2000-11-01,0.49,-1.37
2000-12-01,-2.26,0.03
2001-01-01,-1.96,0.36
2001-02-01,2.04,0.01
2001-03-01,2.36,0.71
2001-04-01,1.55,1.19
2001-05-01,-0.17,1.48
2001-06-01,-5.45,1.58
2001-07-01,-1.19,1.54
2001-08-01,-4.68,1.02
2001-09-01,-1.63,0.46
2001-10-01,3.43,0.01
2001-11-01,-0.94,-0.55
2001-12-01,0.97,-0.56
2002-01-01,0.1,-1.41
2002-02-01,-4.06,0.73
2002-03-01,-6.83,1.47
2002-04-01,-8.98,0.13
2002-05-01,-3.29,-0.24
2002-06-01,-2.98,-0.55
2002-07-01,-0.57,0.23
2002-08-01,4.65,0.09
2002-09-01,-0.16,0.25
2002-10-01,1.66,0.15
2002-11-01,2.88,0.06
2002-12-01,2.65,1.13
2003-01-01,-0.87,0.6
2003-02-01,-1.11,1.62
2003-03-01,-0.55,-0.11
2003-04-01,0.82,0.38
2003-05-01,-0.56,0.36
2003-06-01,1.85,0.42
2003-07-01,0.16,0.59
2003-08-01,2.54,0
2003-09-01,-0.61,-0.27
2003-10-01,-1.87,-1.01
2003-11-01,4.5,-1.57
2003-12-01,0.92,-0.86
2004-01-01,0.92,-0.26
2004-02-01,1.43,-0.14
2004-03-01,-0.41,0.63
2004-04-01,0.81,2.07
2004-05-01,1.29,1.05
2004-06-01,0.26,-1.12
2004-07-01,0.15,0.01
2004-08-01,0.19,-0.56
2004-09-01,3.45,-0.95
2004-10-01,0.36,0.14
2004-11-01,-1.34,-0.13
2004-12-01,-0.14,-1.08
2005-01-01,0.62,-0.62
2005-02-01,1.04,-0.55
2005-03-01,-0.18,-0.39
2005-04-01,-2.98,0.03
2005-05-01,1.2,-0.28
2005-06-01,-0.23,0.31
2005-07-01,-2.53,0.03
2005-08-01,-2.56,0.28
2005-09-01,-2.48,1.06
2005-10-01,0.84,1.08
2005-11-01,0.6,0.49
2005-12-01,2.1,1.25
2006-01-01,0.02,1.66
2006-02-01,0.35,1.59
2006-03-01,-0.76,1.3
2006-04-01,-0.5,0.4
2006-05-01,-2.79,1.36
2006-06-01,-5.43,0.46
2006-07-01,0.99,2.06
2006-08-01,2,2.66
2006-09-01,-1.93,1.66
2006-10-01,-3.08,0.34
2006-11-01,-2.5,-0.34
2006-12-01,2.75,-0.04
2007-01-01,2.99,-0.23
2007-02-01,0.7,-0.45
2007-03-01,1.22,-1.08
2007-04-01,-0.05,-0.8
2007-05-01,-0.53,-1.19
2007-06-01,-1.14,-2.17
2007-07-01,-1.03,-1.83
2007-08-01,2.37,-0.56
2007-09-01,0.83,-0.86
2007-10-01,0.63,-0.12
2007-11-01,0.75,-1.38
2007-12-01,2.27,-1.02
2008-01-01,0.11,-0.31
2008-02-01,-2.61,0.02
2008-03-01,2.17,0.09
2008-04-01,0.19,-0.46
