index,commodity_id,p,delay,theta,theta_pct,share_low,share_high,n_low,n_high,sumBIC,sumAIC,standardized,model_path,run_at
VIX,PANEL,1,1,20.412861952861956,0.6517647058823529,0.6517647058823529,0.3482352941176471,277,148,1884.732181668317,-379.72840307507977,TRUE,/Users/simonochmann/Projects/Nonlinear_SVAR_Uncertainty_Commodities/models/tvar/vix_tvar_model_20250820_220940_withRegim_wr.rds,2025-08-20T20:09:40Z
VXO,PANEL,1,1,18.63245303030303,0.5473684210526316,0.5473684210526316,0.4526315789473684,208,172,1813.3748593687494,-404.5062749593019,TRUE,/Users/simonochmann/Projects/Nonlinear_SVAR_Uncertainty_Commodities/models/tvar/vxo_tvar_model_20250820_220940_withRegim_wr.rds,2025-08-20T20:09:40Z
JLN,PANEL,1,1,0.9132230961098375,0.6713947990543735,0.6713947990543735,0.3286052009456265,284,139,1749.2675124945424,-502.2717620872862,TRUE,/Users/simonochmann/Projects/Nonlinear_SVAR_Uncertainty_Commodities/models/tvar/jln_tvar_model_20250820_220941_withRegim_wr.rds,2025-08-20T20:09:41Z
VIX,PANEL,1,1,20.412861952861956,0.6517647058823529,0.6517647058823529,0.3482352941176471,277,148,1884.732181668317,-379.72840307507977,TRUE,/Users/simonochmann/Projects/Nonlinear_SVAR_Uncertainty_Commodities/models/tvar/vix_tvar_model_20250820_221903_withRegim_wr.rds,2025-08-20T20:19:03Z
VXO,PANEL,1,1,18.63245303030303,0.5473684210526316,0.5473684210526316,0.4526315789473684,208,172,1813.3748593687494,-404.5062749593019,TRUE,/Users/simonochmann/Projects/Nonlinear_SVAR_Uncertainty_Commodities/models/tvar/vxo_tvar_model_20250820_221903_withRegim_wr.rds,2025-08-20T20:19:03Z
JLN,PANEL,1,1,0.9132230961098375,0.6713947990543735,0.6713947990543735,0.3286052009456265,284,139,1749.2675124945424,-502.2717620872862,TRUE,/Users/simonochmann/Projects/Nonlinear_SVAR_Uncertainty_Commodities/models/tvar/jln_tvar_model_20250820_221904_withRegim_wr.rds,2025-08-20T20:19:04Z
VIX,PANEL,1,1,20.412861952861956,0.6517647058823529,0.6517647058823529,0.3482352941176471,277,148,1884.732181668317,-379.72840307507977,TRUE,/Users/simonochmann/Projects/Nonlinear_SVAR_Uncertainty_Commodities/models/tvar/vix_tvar_model_20250820_225423_withRegim_wr.rds,2025-08-20T20:54:23Z
VXO,PANEL,1,1,18.63245303030303,0.5473684210526316,0.5473684210526316,0.4526315789473684,208,172,1813.3748593687494,-404.5062749593019,TRUE,/Users/simonochmann/Projects/Nonlinear_SVAR_Uncertainty_Commodities/models/tvar/vxo_tvar_model_20250820_225424_withRegim_wr.rds,2025-08-20T20:54:24Z
JLN,PANEL,1,1,0.9132230961098375,0.6713947990543735,0.6713947990543735,0.3286052009456265,284,139,1749.2675124945424,-502.2717620872862,TRUE,/Users/simonochmann/Projects/Nonlinear_SVAR_Uncertainty_Commodities/models/tvar/jln_tvar_model_20250820_225424_withRegim_wr.rds,2025-08-20T20:54:24Z
VIX,PANEL,1,1,20.412861952861956,0.6517647058823529,0.6517647058823529,0.3482352941176471,277,148,1884.732181668317,-379.72840307507977,TRUE,/Users/simonochmann/Projects/Nonlinear_SVAR_Uncertainty_Commodities/models/tvar/vix_tvar_model_20250820_225451_withRegim_wr.rds,2025-08-20T20:54:51Z
