proxy,regime,group,horizon,share
vxo_vix,L,Energy,12,0.09524242298196402
vxo_vix,L,Industrial,12,0.36692891959134605
vxo_vix,L,Precious,12,0.18107968070144137
vxo_vix,L,Agriculture,12,0.35674897672524863
vxo_vix,L,Energy,24,0.09524242029817424
vxo_vix,L,Industrial,24,0.366928943377278
vxo_vix,L,Precious,24,0.18107969445925456
vxo_vix,L,Agriculture,24,0.3567489418652934
vxo_vix,H,Energy,12,0.13425346289490117
vxo_vix,H,Industrial,12,0.33319011413010946
vxo_vix,H,Precious,12,0.1804236884596767
vxo_vix,H,Agriculture,12,0.35213273451531274
vxo_vix,H,Energy,24,0.1573507684370844
vxo_vix,H,Industrial,24,0.30731426976162035
vxo_vix,H,Precious,24,0.17706016826240184
vxo_vix,H,Agriculture,24,0.35827479353889335
jln,L,Energy,12,0.10128985256109042
jln,L,Industrial,12,0.3633005394790786
jln,L,Precious,12,0.16370194405157043
jln,L,Agriculture,12,0.3717076639082607
jln,L,Energy,24,0.10128984977924702
jln,L,Industrial,24,0.36330054498009434
jln,L,Precious,24,0.16370194340988223
jln,L,Agriculture,24,0.3717076618307764
jln,H,Energy,12,0.09075993250836381
jln,H,Industrial,12,0.40471403320456667
jln,H,Precious,12,0.19540886482514072
jln,H,Agriculture,12,0.3091171694619288
jln,H,Energy,24,0.09082957473757833
jln,H,Industrial,24,0.40404443988408584
jln,H,Precious,24,0.19561050178213266
jln,H,Agriculture,24,0.30951548359620307
